Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
34,7530.404573,11/06/2015 22:12:31,330.3884599,2,1,0.999833703,3.574288607,0.091762041,0,0.326518049,0,9.71317E-05,0,0,0,0
35,7540.420122,11/06/2015 22:12:41,340.4040089,2,1,0.999833703,3.574936152,0.094543723,0,0.336461453,0,6.47545E-05,0,0,0,0
36,7550.435718,11/06/2015 22:12:51,350.4196056,2,1,1.000014305,3.575745583,0.097325428,0,0.346407068,0,3.23772E-05,0,0,0,0
37,7560.450934,11/06/2015 22:13:01,360.4348211,2,1,1.000014305,3.576555014,0.100102783,0,0.356339252,0,6.47545E-05,0,0,0,0
38,7570.451172,11/06/2015 22:13:11,370.435059,2,1,0.999833703,3.577364445,0.102884465,0,0.36628911,0,9.683E-05,0,0,0,0
39,7580.466736,11/06/2015 22:13:21,380.4506228,2,1,0.999833703,3.577850103,0.105666149,0,0.376241078,0,3.23772E-05,0,0,0,0
40,7590.481911,11/06/2015 22:13:31,390.4657976,2,1,0.999833703,3.578821421,0.108447745,0,0.386194965,0,9.71317E-05,0,0,0,0
41,7600.482263,11/06/2015 22:13:41,400.4661504,2,1,1.000014305,3.579792738,0.111225187,0,0.396136046,0,9.71317E-05,0,0,0,0
42,7610.497305,11/06/2015 22:13:51,410.4811919,2,1,0.999833703,3.580440283,0.114006762,0,0.406094221,0,6.47545E-05,0,0,0,0
43,7620.497742,11/06/2015 22:14:01,420.4816295,2,1,0.999833703,3.581249714,0.116784238,0,0.416039901,0,6.47545E-05,0,0,0,0
44,7630.512892,11/06/2015 22:14:11,430.4967793,2,1,1.000014305,3.582059145,0.119565861,0,0.426002637,0,9.71317E-05,0,0,0,0
45,7640.513215,11/06/2015 22:14:21,440.4971022,2,1,1.000014305,3.582868576,0.122343381,0,0.43595298,0,6.47545E-05,0,0,0,0
46,7650.513281,11/06/2015 22:14:31,450.4971682,2,1,0.999833703,3.583516121,0.12512078,0,0.445905098,0,3.23772E-05,0,0,0,0
47,7660.528711,11/06/2015 22:14:41,460.5125987,2,1,1.000014305,3.584487438,0.127902458,0,0.455874719,0,9.71317E-05,0,0,0,0
48,7670.528777,11/06/2015 22:14:51,470.5126643,2,1,0.999833703,3.585296869,0.130679888,0,0.465831475,0,6.47545E-05,0,0,0,0
49,7680.544273,11/06/2015 22:15:01,480.5281607,2,1,0.999833703,3.586268187,0.133461624,0,0.475806051,0,9.71317E-05,0,0,0,0
50,7690.544286,11/06/2015 22:15:11,490.528173,2,1,0.999653101,3.587077618,0.136239038,0,0.485767456,0,9.71317E-05,0,0,0,0
51,7700.559698,11/06/2015 22:15:21,500.5435852,2,1,0.999833703,3.587887049,0.139020704,0,0.495746556,0,6.47545E-05,0,0,0,0
52,7710.575269,11/06/2015 22:15:31,510.5591567,2,1,1.000014305,3.588858366,0.141802421,0,0.505728315,0,0.000129509,0,0,0,0
53,7720.590611,11/06/2015 22:15:41,520.5744985,2,1,0.999833703,3.589667797,0.144579772,0,0.515696801,0,9.71317E-05,0,0,0,0
54,7730.606402,11/06/2015 22:15:51,530.5902897,2,1,0.999833703,3.590639114,0.14736579,0,0.525698973,0,9.71317E-05,0,0,0,0
55,7740.621939,11/06/2015 22:16:01,540.6058262,2,1,1.000014305,3.591610432,0.150147484,0,0.535688189,0,9.71317E-05,0,0,0,0
56,7750.637492,11/06/2015 22:16:11,550.6213796,2,1,0.999833703,3.592581511,0.152929177,0,0.545679974,0,0.000129461,0,0,0,0
57,7760.653062,11/06/2015 22:16:21,560.6369493,2,1,0.999833703,3.593390942,0.155710837,0,0.555674377,0,6.47545E-05,0,0,0,0
58,7770.668699,11/06/2015 22:16:31,570.6525864,2,1,0.999653101,3.594362259,0.158492585,0,0.565671812,0,6.47545E-05,0,0,0,0
59,7780.684218,11/06/2015 22:16:41,580.6681056,2,1,0.999833703,3.595495462,0.161274271,0,0.575671682,0,0.000129509,0,0,0,0
60,7790.699724,11/06/2015 22:16:51,590.6836109,2,1,0.999833703,3.59646678,0.164055999,0,0.585674592,0,9.71317E-05,0,0,0,0
61,7800.715272,11/06/2015 22:17:01,600.6991589,2,1,0.999833703,3.597438097,0.166837707,0,0.595680284,0,6.47545E-05,0,0,0,0
62,7810.730858,11/06/2015 22:17:11,610.7147456,2,1,0.999833703,3.598409414,0.169619417,0,0.605688906,0,6.47545E-05,0,0,0,0
63,7820.746216,11/06/2015 22:17:21,620.7301037,2,1,0.999833703,3.599542618,0.172401073,0,0.615700331,0,6.47545E-05,0,0,0,0
64,7830.746352,11/06/2015 22:17:31,630.7302397,2,1,0.999833703,3.600675821,0.175178491,0,0.625699467,0,0.000129106,0,0,0,0
65,7840.761896,11/06/2015 22:17:41,640.7457832,2,1,0.999833703,3.601809025,0.177960185,0,0.6357171,0,6.47545E-05,0,0,0,0
66,7850.777496,11/06/2015 22:17:51,650.7613834,2,1,1.000014305,3.602942228,0.180741924,0,0.645737993,0,9.71317E-05,0,0,0,0
67,7860.793273,11/06/2015 22:18:01,660.7771603,2,1,0.999833703,3.603913546,0.183523726,0,0.65576228,0,6.47545E-05,0,0,0,0
68,7870.808482,11/06/2015 22:18:11,670.7923688,2,1,0.999833703,3.605046749,0.186305398,0,0.665789208,0,6.47545E-05,0,0,0,0
69,7880.808508,11/06/2015 22:18:21,680.7923953,2,1,1.000014305,3.606503725,0.189082813,0,0.675804109,0,0.000129509,0,0,0,0
70,7890.82412,11/06/2015 22:18:31,690.8080078,2,1,0.999833703,3.607636929,0.191864552,0,0.685837919,0,9.71317E-05,0,0,0,0
71,7900.839411,11/06/2015 22:18:41,700.8232983,2,1,0.999833703,3.608608246,0.194646171,0,0.695874594,0,6.47545E-05,0,0,0,0
72,7910.855188,11/06/2015 22:18:51,710.8390758,2,1,1.000014305,3.609903336,0.197427939,0,0.705915194,0,6.47545E-05,0,0,0,0
73,7920.870821,11/06/2015 22:19:01,720.8547082,2,1,1.000014305,3.611198425,0.200209631,0,0.715958825,0,0.000129509,0,0,0,0
74,7930.886313,11/06/2015 22:19:11,730.8702002,2,1,0.999833703,3.612331629,0.202991287,0,0.726005797,0,9.71317E-05,0,0,0,0
75,7940.901914,11/06/2015 22:19:21,740.8858008,2,1,0.999833703,3.613626719,0.20577302,0,0.736056462,0,9.71317E-05,0,0,0,0
76,7950.917111,11/06/2015 22:19:31,750.9009985,2,1,0.999833703,3.615083694,0.208550349,0,0.74609465,0,0.000161886,0,0,0,0
77,7960.933009,11/06/2015 22:19:41,760.916896,2,1,0.999833703,3.616378784,0.211336383,0,0.756167704,0,0.000161886,0,0,0,0
78,7970.94858,11/06/2015 22:19:51,770.9324677,2,1,0.999833703,3.617511988,0.214118109,0,0.766228709,0,0.000129509,0,0,0,0
79,7980.963812,11/06/2015 22:20:01,780.9476994,2,1,0.999833703,3.618645191,0.216895461,0,0.776277282,0,0.000129509,0,0,0,0
80,7990.963991,11/06/2015 22:20:11,790.9478778,2,1,0.999833703,3.619940281,0.219677164,0,0.786345124,0,0.000129107,0,0,0,0
81,8000.979588,11/06/2015 22:20:21,800.9634753,2,1,0.999833703,3.621073484,0.222458854,0,0.796416394,0,6.47545E-05,0,0,0,0
82,8010.995128,11/06/2015 22:20:31,810.9790154,2,1,1.000014305,3.622692347,0.225240512,0,0.806491135,0,0.000161886,0,0,0,0
83,8021.010684,11/06/2015 22:20:41,820.9945709,2,1,1.000014305,3.62382555,0.228022204,0,0.816569508,0,0.000161886,0,0,0,0
84,8031.026275,11/06/2015 22:20:51,831.0101618,2,1,0.999833703,3.624958754,0.230803928,0,0.826651585,0,9.71317E-05,0,0,0,0
85,8041.041813,11/06/2015 22:21:01,841.0256999,2,1,0.999833703,3.62641573,0.233585646,0,0.836737067,0,0.000161886,0,0,0,0
86,8051.057488,11/06/2015 22:21:11,851.0413755,2,1,1.000014305,3.627548933,0.236367404,0,0.846826306,0,0.000129509,0,0,0,0
87,8061.072964,11/06/2015 22:21:21,861.0568513,2,1,1.000014305,3.628844023,0.239149112,0,0.856918863,0,0.000129509,0,0,0,0
88,8071.088524,11/06/2015 22:21:31,871.0724117,2,1,0.999833703,3.630139112,0.241930841,0,0.867015117,0,0.000129509,0,0,0,0
89,8081.104065,11/06/2015 22:21:41,881.0879525,2,1,1.000014305,3.631434202,0.24471251,0,0.877114584,0,0.000161886,0,0,0,0
90,8091.11961,11/06/2015 22:21:51,891.1034971,2,1,1.000014305,3.632729292,0.247494182,0,0.88721762,0,0.000129509,0,0,0,0
91,8101.135182,11/06/2015 22:22:01,901.1190689,2,1,1.000014305,3.634024382,0.250275904,0,0.897324285,0,0.000129509,0,0,0,0
92,8111.15074,11/06/2015 22:22:11,911.1346273,2,1,0.999833703,3.635157585,0.253057633,0,0.90743446,0,0.000129509,0,0,0,0
93,8121.165972,11/06/2015 22:22:21,921.1498595,2,1,0.999833703,3.636128902,0.255835001,0,0.917532098,0,9.71317E-05,0,0,0,0
94,8131.181883,11/06/2015 22:22:31,931.1657699,2,1,0.999833703,3.637585878,0.258621042,0,0.927664655,0,0.000129509,0,0,0,0
95,8141.197419,11/06/2015 22:22:41,941.1813068,2,1,0.999833703,3.638557196,0.261402757,0,0.937784759,0,9.71317E-05,0,0,0,0
96,8151.212788,11/06/2015 22:22:51,951.196675,2,1,0.999833703,3.639690399,0.264184442,0,0.947908034,0,6.47545E-05,0,0,0,0
97,8161.212939,11/06/2015 22:23:01,961.1968261,2,1,0.999833703,3.640985489,0.266961822,0,0.958018852,0,0.000129509,0,0,0,0
98,8171.228137,11/06/2015 22:23:11,971.2120238,2,1,0.999833703,3.642118692,0.269739134,0,0.968132567,0,9.71317E-05,0,0,0,0
99,8181.228269,11/06/2015 22:23:21,981.212156,2,1,0.999833703,3.643251896,0.27251648,0,0.978249596,0,9.71317E-05,0,0,0,0
100,8191.243979,11/06/2015 22:23:31,991.2278663,2,1,0.999833703,3.644546986,0.27530261,0,0.98840168,0,0.000161886,0,0,0,0
101,8201.259498,11/06/2015 22:23:41,1001.243385,2,1,1.000014305,3.645518303,0.278084346,0,0.998540885,0,0.000129509,0,0,0,0
102,8211.275087,11/06/2015 22:23:51,1011.258975,2,1,0.999653101,3.646327734,0.280866107,0,1.008683105,0,3.23772E-05,0,0,0,0
103,8221.290627,11/06/2015 22:24:01,1021.274514,2,1,0.999833703,3.64778471,0.283647803,0,1.018828206,0,0.000129509,0,0,0,0
104,8231.306193,11/06/2015 22:24:12,1031.29008,2,1,0.999833703,3.648756027,0.286429536,0,1.028976664,0,6.47545E-05,0,0,0,0
105,8241.321669,11/06/2015 22:24:22,1041.305556,2,1,0.999833703,3.649889231,0.28921123,0,1.039128041,0,6.47545E-05,0,0,0,0
106,8251.321809,11/06/2015 22:24:32,1051.305696,2,1,1.000014305,3.651022434,0.291988638,0,1.049266925,0,9.71317E-05,0,0,0,0
107,8261.337247,11/06/2015 22:24:42,1061.321134,2,1,0.999653101,3.652155638,0.29477027,0,1.05942427,0,0.000129509,0,0,0,0
108,8271.352811,11/06/2015 22:24:52,1071.336698,2,1,0.999653101,3.653288841,0.29755195,0,1.069584982,0,0.000129509,0,0,0,0
109,8281.368351,11/06/2015 22:25:02,1081.352238,2,1,0.999833703,3.654422045,0.300333654,0,1.079748937,0,9.71317E-05,0,0,0,0
110,8291.383901,11/06/2015 22:25:12,1091.367788,2,1,0.999833703,3.655717134,0.303115355,0,1.0899161,0,0.000129509,0,0,0,0
111,8301.399514,11/06/2015 22:25:22,1101.383401,2,1,0.999833703,3.656688452,0.305897095,0,1.10008658,0,9.71317E-05,0,0,0,0
112,8311.415016,11/06/2015 22:25:32,1111.398903,2,1,0.999833703,3.657983541,0.308678777,0,1.110260005,0,9.71317E-05,0,0,0,0
113,8321.430599,11/06/2015 22:25:42,1121.414486,2,1,0.999833703,3.659116745,0.311460518,0,1.120436936,0,0.000161886,0,0,0,0
114,8331.446164,11/06/2015 22:25:52,1131.430051,2,1,1.000194907,3.660411835,0.314242196,0,1.130616857,0,0.000161886,0,0,0,0
115,8341.461692,11/06/2015 22:26:02,1141.445579,2,1,0.999653101,3.661221266,0.31702388,0,1.140800091,0,6.47545E-05,0,0,0,0
116,8351.477267,11/06/2015 22:26:12,1151.461154,2,1,0.999833703,3.662678242,0.319805552,0,1.150986471,0,0.000129509,0,0,0,0
117,8361.492817,11/06/2015 22:26:22,1161.476704,2,1,0.999833703,3.663649559,0.322587238,0,1.161176168,0,6.47545E-05,0,0,0,0
118,8371.508392,11/06/2015 22:26:32,1171.492279,2,1,0.999833703,3.664782763,0.325368931,0,1.171369087,0,9.71317E-05,0,0,0,0
119,8381.523933,11/06/2015 22:26:42,1181.507821,2,1,0.999833703,3.666077852,0.32815061,0,1.181565133,0,0.000129509,0,0,0,0
120,8391.539497,11/06/2015 22:26:52,1191.523385,2,1,0.999833703,3.667211056,0.330932326,0,1.191764415,0,0.000161886,0,0,0,0
121,8401.555052,11/06/2015 22:27:02,1201.538939,2,1,0.999653101,3.668182373,0.333714003,0,1.201966485,0,0.000129509,0,0,0,0
122,8411.570605,11/06/2015 22:27:12,1211.554493,2,1,0.999833703,3.66915369,0.336495714,0,1.212171724,0,9.71317E-05,0,0,0,0
123,8421.586221,11/06/2015 22:27:22,1221.570108,2,1,1.000014305,3.670286894,0.339277413,0,1.222379727,0,9.71317E-05,0,0,0,0
124,8431.601322,11/06/2015 22:27:32,1231.58521,2,1,1.000014305,3.671258211,0.342054748,0,1.232574549,0,9.71317E-05,0,0,0,0
125,8441.601564,11/06/2015 22:27:42,1241.585451,2,1,0.999833703,3.672229528,0.344836415,0,1.242787956,0,9.71317E-05,0,0,0,0
126,8451.601654,11/06/2015 22:27:52,1251.585541,2,1,0.999833703,3.673038721,0.347613763,0,1.252988019,0,6.47545E-05,0,0,0,0
127,8461.616871,11/06/2015 22:28:02,1261.600758,2,1,1.000014305,3.674010038,0.350391087,0,1.263190505,0,9.71317E-05,0,0,0,0
128,8471.617087,11/06/2015 22:28:12,1271.600974,2,1,0.999833703,3.674819469,0.353172757,0,1.273411328,0,6.47545E-05,0,0,0,0
129,8481.632636,11/06/2015 22:28:22,1281.616523,2,1,0.999653101,3.675628901,0.355954448,0,1.283634487,0,9.71317E-05,0,0,0,0
130,8491.648211,11/06/2015 22:28:32,1291.632098,2,1,0.999833703,3.676438332,0.35873612,0,1.293859829,0,6.47545E-05,0,0,0,0
131,8501.663489,11/06/2015 22:28:42,1301.647376,2,1,0.999833703,3.677085876,0.361513452,0,1.304071327,0,3.23772E-05,0,0,0,0
132,8511.663514,11/06/2015 22:28:52,1311.647401,2,1,0.999653101,3.677571535,0.364290749,0,1.314284539,0,3.23772E-05,0,0,0,0
133,8521.663753,11/06/2015 22:29:02,1321.64764,2,1,0.999653101,3.678380966,0.367072501,0,1.324516169,0,3.23772E-05,0,0,0,0
134,8531.679036,11/06/2015 22:29:12,1331.662923,2,1,1.000014305,3.679190397,0.369854138,0,1.334749193,0,6.47545E-05,0,0,0,0
135,8541.694777,11/06/2015 22:29:22,1341.678664,2,1,0.999833703,3.679837942,0.372635895,0,1.344984456,0,6.47545E-05,0,0,0,0
136,8551.710318,11/06/2015 22:29:32,1351.694206,2,1,0.999653101,3.680161715,0.375417573,0,1.355221054,0,0,0,0,0,0
137,8561.725866,11/06/2015 22:29:42,1361.709753,2,1,0.999833703,3.680809259,0.378199262,0,1.365459411,0,6.47545E-05,0,0,0,0
138,8571.741422,11/06/2015 22:29:52,1371.72531,2,1,0.999653101,3.681294918,0.380980957,0,1.375699333,0,3.23772E-05,0,0,0,0
139,8581.756988,11/06/2015 22:30:02,1381.740875,2,1,0.999833703,3.681780577,0.38376263,0,1.385940717,0,0,0,0,0,0
140,8591.757205,11/06/2015 22:30:12,1391.741093,2,1,0.999833703,3.682428122,0.386540049,0,1.396167888,0,3.23772E-05,0,0,0,0
141,8601.772275,11/06/2015 22:30:22,1401.756162,2,1,1.000014305,3.683075666,0.389321593,0,1.406411565,0,9.71317E-05,0,0,0,0
142,8611.772409,11/06/2015 22:30:32,1411.756296,2,1,0.999653101,3.683399439,0.392098987,0,1.416641405,0,3.23772E-05,0,0,0,0
143,8621.787986,11/06/2015 22:30:42,1421.771873,2,1,0.999833703,3.683885098,0.394880675,0,1.426888334,0,3.23772E-05,0,0,0,0
144,8631.80353,11/06/2015 22:30:52,1431.787417,2,1,0.999653101,3.68420887,0.39766213,0,1.437135602,0,0,0,0,0,0
145,8641.819138,11/06/2015 22:31:02,1441.803026,2,1,0.999653101,3.684856415,0.40044358,0,1.447384138,0,6.47545E-05,0,0,0,0
146,8651.834134,11/06/2015 22:31:12,1451.818021,2,1,1.000014305,3.685342073,0.40319463,0,1.45752181,0,3.23772E-05,0,0,0,0
147,8661.834487,11/06/2015 22:31:22,1461.818374,2,1,0.999833703,3.685665846,0.406002087,0,1.467868536,0,3.23772E-05,0,0,0,0
148,8671.83452,11/06/2015 22:31:32,1471.818407,2,1,0.999833703,3.686151505,0.40877923,0,1.478104763,0,3.23772E-05,0,0,0,0
149,8681.850097,11/06/2015 22:31:42,1481.833984,2,1,0.999833703,3.686475277,0.411560701,0,1.488358056,0,6.47545E-05,0,0,0,0
150,8691.865642,11/06/2015 22:31:52,1491.849529,2,1,0.999833703,3.686960936,0.414342163,0,1.498612465,0,6.47545E-05,0,0,0,0
151,8701.881209,11/06/2015 22:32:02,1501.865097,2,1,0.999653101,3.687284708,0.417123633,0,1.508868035,0,3.23772E-05,0,0,0,0
152,8711.896351,11/06/2015 22:32:12,1511.880238,2,1,0.999833703,3.68760848,0.419904933,0,1.519123999,0,3.23772E-05,0,0,0,0
153,8721.896699,11/06/2015 22:32:22,1521.880587,2,1,0.999833703,3.687932253,0.42268212,0,1.529365624,0,3.23772E-05,0,0,0,0
154,8731.911945,11/06/2015 22:32:32,1531.895833,2,1,0.999653101,3.688417912,0.42545923,0,1.53960824,0,0,0,0,0,0
155,8741.927439,11/06/2015 22:32:42,1541.911326,2,1,0.999833703,3.68890357,0.428244895,0,1.549883536,0,3.23772E-05,0,0,0,0
156,8751.9278,11/06/2015 22:32:52,1551.911687,2,1,0.999653101,3.689065456,0.431022103,0,1.560128609,0,3.23772E-05,0,0,0,0
157,8761.943329,11/06/2015 22:33:02,1561.927216,2,1,0.999653101,3.689551115,0.433803516,0,1.570390269,0,3.23772E-05,0,0,0,0
158,8771.958452,11/06/2015 22:33:12,1571.942339,2,1,0.999833703,3.689874887,0.436584861,0,1.580652758,0,3.23772E-05,0,0,0,0
159,8781.958785,11/06/2015 22:33:22,1581.942673,2,1,0.999472499,3.69019866,0.439362049,0,1.59090089,0,0,0,0,0,0
160,8791.974477,11/06/2015 22:33:32,1591.958365,2,1,0.999653101,3.690684319,0.442143523,0,1.601165837,0,6.47545E-05,0,0,0,0
161,8801.98952,11/06/2015 22:33:42,1601.973407,2,1,0.999653101,3.691008091,0.444924829,0,1.611431257,0,6.47545E-05,0,0,0,0
162,8811.989831,11/06/2015 22:33:52,1611.973718,2,1,0.999653101,3.69149375,0.447702007,0,1.621682444,0,6.47545E-05,0,0,0,0
163,8822.005402,11/06/2015 22:34:02,1621.98929,2,1,0.999833703,3.691979408,0.450483395,0,1.631950137,0,9.71317E-05,0,0,0,0
164,8832.005414,11/06/2015 22:34:12,1631.989302,2,1,0.999653101,3.692141294,0.453260492,0,1.642203065,0,0,0,0,0,0
165,8842.020879,11/06/2015 22:34:22,1642.004767,2,1,1.000014305,3.692626953,0.456041908,0,1.652473004,0,6.47545E-05,0,0,0,0
166,8852.036442,11/06/2015 22:34:32,1652.020329,2,1,0.999653101,3.692788839,0.458823334,0,1.662743944,0,0,0,0,0,0
167,8862.036461,11/06/2015 22:34:42,1662.020349,2,1,0.999833703,3.693274498,0.461600398,0,1.672999667,0,3.23772E-05,0,0,0,0
168,8872.051931,11/06/2015 22:34:52,1672.035818,2,1,0.999833703,3.69359827,0.464381774,0,1.683272413,0,3.23772E-05,0,0,0,0
169,8882.0675,11/06/2015 22:35:02,1682.051388,2,1,0.999833703,3.693922043,0.46716317,0,1.693546274,0,3.23772E-05,0,0,0,0
170,8892.083089,11/06/2015 22:35:12,1692.066977,2,1,0.999653101,3.694407701,0.469944574,0,1.703821166,0,3.23772E-05,0,0,0,0
171,8902.098609,11/06/2015 22:35:22,1702.082497,2,1,0.999833703,3.694731474,0.472725976,0,1.714097074,0,6.47545E-05,0,0,0,0
172,8912.114149,11/06/2015 22:35:32,1712.098036,2,1,0.999833703,3.695055246,0.475507391,0,1.724374058,0,3.23772E-05,0,0,0,0
173,8922.129754,11/06/2015 22:35:42,1722.113641,2,1,0.999833703,3.695379019,0.47828884,0,1.734652169,0,3.23772E-05,0,0,0,0
174,8932.145308,11/06/2015 22:35:52,1732.129196,2,1,0.999653101,3.695864677,0.48107023,0,1.744931007,0,6.47545E-05,0,0,0,0
175,8942.160575,11/06/2015 22:36:02,1742.144462,2,1,1.000014305,3.696350336,0.483847308,0,1.755194984,0,6.47545E-05,0,0,0,0
176,8952.160865,11/06/2015 22:36:12,1752.144753,2,1,0.999833703,3.696512222,0.486628755,0,1.765476111,0,3.23772E-05,0,0,0,0
177,8962.176353,11/06/2015 22:36:22,1762.16024,2,1,0.999653101,3.696835995,0.489410169,0,1.775758102,0,3.23772E-05,0,0,0,0
178,8972.191928,11/06/2015 22:36:32,1772.175816,2,1,0.999653101,3.697159767,0.492191589,0,1.786041173,0,0,0,0,0,0
179,8982.207446,11/06/2015 22:36:42,1782.191334,2,1,0.999653101,3.697645426,0.494973025,0,1.796325321,0,3.22767E-05,0,0,0,0
180,8992.223064,11/06/2015 22:36:52,1792.206951,2,1,0.999833703,3.697969198,0.497754451,0,1.806610409,0,3.23772E-05,0,0,0,0
181,9002.238575,11/06/2015 22:37:02,1802.222462,2,1,0.999833703,3.698454857,0.50053584,0,1.816896235,0,6.47545E-05,0,0,0,0
182,9012.254117,11/06/2015 22:37:12,1812.238005,2,1,1.000014305,3.698940516,0.503317252,0,1.827183248,0,9.71317E-05,0,0,0,0
183,9022.26971,11/06/2015 22:37:22,1822.253597,2,1,0.999653101,3.699102402,0.50609867,0,1.837471323,0,6.47545E-05,0,0,0,0
184,9032.28526,11/06/2015 22:37:32,1832.269147,2,1,0.999653101,3.699426174,0.508880093,0,1.847760432,0,3.23772E-05,0,0,0,0
